t,STAT5_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,119.841257658806,0.0952003312927005,0.0144218696719023
7,NaN,0.0737008192477494,NaN
7.5,10.2247204060645,NaN,NaN
10,NaN,NaN,0.0235454540453325
15,9.13378386347248,0.0827035069977153,NaN
20,NaN,0.0789074377844837,NaN
25,24.5683762170376,NaN,0.142833679878438
30,25.8451843692005,0.144876314347443,NaN
35,NaN,NaN,0.200634886979771
40,46.138177646067,0.290644061526678,NaN
50,59.0705876709492,0.845806846444852,0.169925572513781
60,70.3155513335422,1.7465511508007,NaN
65,NaN,NaN,0.11154159108793
75,96.5128310146992,4.11983759031123,NaN
80,NaN,NaN,0.0881712529033784
90,109.150196717416,NaN,NaN
95,NaN,6.41255267797695,NaN
100,95.1768345170121,9.05750792642688,0.0554401543769293
150,93.3877413136289,10.5735816076109,0.0530517601090117
200,NaN,NaN,0.0582145943843946
