t,STAT5_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,116.402723901916,0.0800923007898384,0.0128724646475939
6.5,34.5688984623105,0.0950864946381907,NaN
7.5,NaN,NaN,0.0154300990445498
15,35.4039129428555,0.080762827909729,0.0406165684572403
20,38.4386118867088,0.076056079338617,NaN
25,NaN,NaN,0.10279085742295
30,47.1985327559095,0.116200348795469,NaN
35,49.7338963115016,NaN,0.127308884289952
40,NaN,0.258157818831046,NaN
45,68.7783848025046,0.474036314706169,0.134808930936331
55,93.0203547461471,NaN,0.123395644486681
60,NaN,1.23846187044053,NaN
65,97.9600685780719,NaN,NaN
70,NaN,NaN,0.0807376126492719
75,NaN,2.77117277477922,NaN
80,112.089207570885,NaN,NaN
85,NaN,NaN,0.0635611470343939
90,NaN,4.98188930528109,NaN
95,112.477088037589,NaN,NaN
100,96.2197713379678,5.66625802151122,0.0403627124135055
150,108.019777186693,9.10786222293567,0.0365526870478296
