t,epo_level,CIS_Obs,SOCS3nRNA2_Obs
39,2.5e-09,0.0680687139986454,0.0241917323824181
39,2.5e-09,0.0844109195819252,0.0272295395490617
39,2.5e-09,0.0878899330176273,0.0251485264028084
39,2.5e-08,0.155301303376656,0.108262125663109
39,2.5e-08,0.163422858008588,0.126544347842959
39,2.5e-08,0.179481197888402,0.1125871029812
39,1.25e-07,0.221123783872818,0.158982941362412
39,1.25e-07,0.235900453573086,0.15327411424916
39,1.25e-07,0.248631840134163,0.153489431589509
39,2.5e-07,0.280332179993011,0.187444663194604
39,2.5e-07,0.286719312992724,0.201264978516544
39,2.5e-07,0.305772288041224,0.225617969371018
39,1.25e-06,0.293415460612884,0.179952129367734
39,1.25e-06,0.319233097395883,0.179661129891427
39,1.25e-06,0.361216593103643,0.224255115152326
39,2.5e-06,0.344832973624247,0.176996789849821
39,2.5e-06,0.410667604636371,0.212835304210027
39,2.5e-06,0.417198870105707,0.182222624996664
