t,epo_level,CISHnRNA3_Obs
14,2.5e-09,0.000241795026300199
14,7.905e-09,0.000488681361279544
14,7.905e-09,0.000593020258548325
14,7.905e-09,0.000596045384058173
14,1.25e-08,0.000877088217097682
14,1.25e-08,0.00102385165316203
14,1.25e-08,0.0010488270442702
14,1.75e-08,0.0014021393794757
14,1.75e-08,0.00145972413128685
14,1.75e-08,0.00162253877751869
14,2.5e-08,0.00193559668064623
14,3.95e-08,0.00304169966085375
14,3.95e-08,0.00348489505965574
14,3.95e-08,0.00352152270922807
14,7.9e-08,0.00480367978177971
14,7.9e-08,0.00640064664581671
14,7.9e-08,0.00707708814871736
14,1.25e-07,0.00746658039654127
14,1.7675e-07,0.00910816627107337
14,2.5e-07,0.00944064510425363
14,7.905e-07,0.0121592604500996
14,2.5e-06,0.0110024681618242
