t,CIS_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.088024384315926,0.000715661389875986,0.00299892493555735
9.5,NaN,0.00116882926435642,NaN
10,NaN,NaN,0.0300652249428665
20,NaN,0.000629475888341253,NaN
25,0.0723438019228269,NaN,0.0110024305194684
30,NaN,0.000707840834047096,NaN
40,NaN,NaN,0.00380793276984217
45,NaN,0.000755638839112031,NaN
50,0.0926687207999098,NaN,NaN
55,NaN,NaN,0.00304653279891228
60,NaN,0.000913199961487546,NaN
75,NaN,NaN,0.00286021715015549
80,0.108647132001489,0.000547724177497441,NaN
95,NaN,NaN,0.00317028475547033
100,0.102877372094285,NaN,NaN
150,0.193654584530345,NaN,NaN
200,0.201764810234456,NaN,NaN
250,0.208046480405517,NaN,NaN
300,0.221533744046853,NaN,NaN
350,0.321039505665048,NaN,NaN
450,0.276508626655737,NaN,NaN
