t,epo_level,CIS_Obs,SOCS3nRNA2_Obs
5,2.5e-09,0.0656042559983174,0.0127810272946147
5,2.5e-09,0.086430701048135,0.0131369430546186
5,2.5e-09,0.0886908635720473,0.0127692975064925
5,2.5e-08,0.0667930643884636,0.0115537729194826
5,2.5e-08,0.0694573444893929,0.0131195653073541
5,2.5e-08,0.0733813471137479,0.0113547414509779
5,2.5e-07,0.0734249981405554,0.014850647372522
5,2.5e-07,0.0789226962655986,0.0146729130444702
5,2.5e-07,0.0846858646032017,0.0174581711391132
5,2.5e-06,0.0634807078275039,0.0161597151085977
5,2.5e-06,0.0698633042876378,0.0159391891733412
5,2.5e-06,0.070340497897945,0.0151820831454948
5,2.5e-05,0.0764551750433341,0.0185122347005111
5,2.5e-05,0.0780107576780215,0.0168829203533969
5,2.5e-05,0.0936363619705981,0.0186430249924365
