t,CIS_Obs,SOCS3nRNA2_Obs
0,0.0753548547394658,0.000614955290892746
7,NaN,0.000651690454341433
15,0.0953435027039022,0.000655601774538616
25,NaN,0.000627931375888588
30,0.0973090924599783,0.000555451000893757
40,NaN,0.000569747751484523
50,0.078338150727641,NaN
55,NaN,0.000749604870960039
65,NaN,0.000731081166208425
70,0.0748433427976407,NaN
85,NaN,0.000574876549635855
90,0.0860892717627535,NaN
100,0.115103052518804,NaN
150,0.0820266880048955,NaN
200,0.102425713371815,NaN
250,0.104095739632367,NaN
300,0.0975611418937413,NaN
