t,CIS_Obs,SOCS3nRNA2_Obs
0,0.087696470374271,0.000677213449520058
6.5,NaN,0.000723808182582173
15,0.0931811640896199,0.000641218437351756
20,NaN,0.000626030941190759
30,0.0784813320806625,0.000652923360622195
40,NaN,0.000597839783671038
50,0.0791569986426241,0.000632417185554735
60,NaN,0.00059114126085451
65,0.0833060072040497,NaN
75,NaN,0.000659396458941771
85,0.0916961229851817,NaN
100,0.0752015930971383,NaN
150,0.078713550058732,NaN
200,0.0920306191232187,NaN
250,0.0995566762037857,NaN
300,0.109526565327911,NaN
