t,epo_level,CIS_Obs,SOCS3nRNA2_Obs
18,0,0.0809539408769581,0.000523298796844671
18,0,0.0878173083136206,0.000679429336725035
18,4.2857e-08,0.0724560768233016,0.000706771379016098
18,4.2857e-08,0.0789352060135981,0.000597241789543372
18,1.4286e-07,0.0816966315561727,0.00104896426068459
18,1.4286e-07,0.0849264049924762,0.00083745874399486
18,4.2857e-07,0.0730611466363693,0.000721671205068639
18,4.2857e-07,0.0823114852499078,0.000729655153167631
18,1.4286e-06,0.0823505226142621,0.000647852958868022
18,1.4286e-06,0.0935860667957942,0.000739528798914515
18,4.2857e-06,0.078914141666932,0.00079756263838579
18,4.2857e-06,0.0891861018995467,0.000703283441424579
18,1.4286e-05,0.0737580086623265,0.000640154117160649
18,1.4286e-05,0.0975860276036314,0.000637374860450831
18,4.2857e-05,0.076991922728219,0.000700661999819236
18,4.2857e-05,0.0874803849708134,0.000875363785525562
