timepoint,Bac_Obs,Compound_1_Obs
0,0.0236212404957039,-0.298428102872692
300,NaN,10.019029237057
400,0.00983233717909384,NaN
650,NaN,9.75967405292146
800,0.0311188277437736,NaN
950,NaN,9.8156379582869
1000,0.0570785902982803,NaN
1500,0.223928545095499,9.95523082008853
2000,NaN,10.3577344795099
2500,0.647022067723356,9.31603212501551
3000,0.754058795186208,9.02809343508391
3500,0.723489505923627,9.83978005357219
4000,NaN,9.46284204327957
4500,0.736283843112051,9.58799511927317
5500,0.737274564767014,8.01222923868272
6500,NaN,8.11567054171502
7000,0.71158964609669,NaN
7500,NaN,7.73442242876349
8500,0.711994160170925,6.56743870568072
