timepoint,Bac_Obs,Compound_1_Obs
0,0.00592520585839361,0.737469850526641
150,0.0050258022384399,NaN
300,0.000607100050450862,9.70702634898682
450,0.048914611837124,NaN
600,0.0440461418388702,10.5551688061197
800,0.183798211349455,NaN
950,NaN,9.60127194028321
1000,0.285309289423863,NaN
1500,0.715455525295831,9.37917994933706
2000,0.848393067212052,10.764264150545
2500,0.894042529419355,9.40332881524874
3000,NaN,9.04676538464958
3500,NaN,9.32813097059743
4000,NaN,9.20733174213625
4500,NaN,9.34600739377803
5500,NaN,7.94548878365009
6500,NaN,8.55369837427589
7500,NaN,7.91735229052149
8500,NaN,8.05009386864806
