timepoint,Bac_Obs,Compound_1_Obs
0,-0.0287133763146559,0.170003984180096
150,0.0482537144718649,NaN
300,0.104473064082135,NaN
450,-0.0028260995999103,0.762356819913155
600,0.0644174485950088,NaN
800,0.119104635541952,NaN
950,0.162329775291288,3.31781429874354
1000,0.282105225657197,NaN
1500,0.856090644268843,7.58695307032879
2000,1.10648987982074,7.94128553598953
2500,1.19919756819483,6.75063875745372
3000,1.10518015985776,NaN
3500,NaN,5.1865131911209
4500,NaN,4.36003214925433
5500,NaN,3.55487439182449
7000,NaN,3.00930237718596
8500,NaN,2.46711191102517
