timepoint,Bac_Obs,Compound_1_Obs
0,0.016814409905817,0.0484532189843904
400,0.0116828924324792,0.123198336443314
750,NaN,0.127320692794207
800,0.0246870261252221,NaN
1000,0.0342416860115473,0.206588458072944
1500,0.0558760377827357,0.340856923659206
2000,0.11105421617864,0.494629932059837
2500,NaN,0.743340574365176
3000,0.241470500584365,NaN
3500,0.317965891752658,1.08294975183055
4000,NaN,1.21295222746938
4500,0.457469507327322,NaN
5000,NaN,1.0989375140309
5500,0.475731426390436,NaN
6000,NaN,1.04913477683202
6500,0.47310958819511,NaN
7000,NaN,0.923217100995371
8500,NaN,0.813468609574774
