timepoint,Bac_Obs,Compound_1_Obs
0,0.0108461387444847,0.194313903945723
350,0.0232325307292251,NaN
400,NaN,0.262765295272447
700,0.0327235191371199,NaN
800,NaN,0.638599848962489
1000,0.0466171830616461,1.27146987783503
1500,0.111335463624573,2.78542311080692
2000,0.218247694978726,4.7653837074661
2500,0.311163409559869,6.13012067588077
3000,0.32968365110653,NaN
3500,0.360627362146477,5.44454027264228
4000,0.374702907914009,5.38013187148811
5000,0.378367080024033,3.5462839514702
6000,0.421102602932487,3.25069498919069
7000,NaN,2.93212416864974
8500,NaN,2.07532005570562
