timepoint,Bac_Obs,Compound_1_Obs
0,0.0192126990530492,-0.0339007435973167
200,-0.00343627898261718,NaN
400,0.0318288119831577,0.0748797629230937
650,0.0712011789191562,NaN
800,NaN,0.41242126720133
850,0.181833144422058,NaN
1000,0.222466783060666,NaN
1500,0.625216473703228,1.65946753886134
2000,0.77577047390684,NaN
2500,0.839114848720668,1.73601689946715
3000,0.766996977833766,1.53766988611274
3500,0.832282555940238,1.47172733925056
4500,NaN,1.18839752901081
5500,NaN,1.12247851191414
6500,NaN,1.06196961713067
8000,NaN,1.07019179376838
