timepoint,Bac_Obs,Compound_1_Obs
0,0.0451498647819776,-0.0966147872695875
400,NaN,0.122296843243084
450,0.0561626647427757,NaN
800,NaN,0.884420311866881
850,0.032036769820158,NaN
1000,NaN,1.43829323484992
1500,0.168522100147089,3.44833173864828
2000,0.385695205030677,5.56398694620107
2500,0.54010735378489,6.8933203131145
3000,0.844144264622322,NaN
3500,NaN,5.75826728049193
4000,1.14176301049564,5.63868595403813
4500,1.2051603113328,NaN
5000,NaN,4.29346108243837
6000,1.28488347193111,4.07052548047437
7000,1.24143016235106,3.52141064276919
8500,1.31197308836481,2.77943916221004
