timepoint,Bac_Obs,Compound_1_Obs
0,0.00905511867055084,-0.0560483802300144
400,0.0354461570293579,NaN
450,NaN,0.517733879938014
850,0.0684604669270492,NaN
900,NaN,2.2523357627972
1500,0.450148443934214,6.03937110201014
2000,0.728807159557992,7.83202880012473
2500,0.930267065971737,6.88945323020518
3000,1.01931679634378,5.6537173404259
3500,1.04609732466468,NaN
4000,NaN,4.67545317462383
4500,1.00017460021001,NaN
5000,NaN,4.05060998637755
5500,0.907269716786897,NaN
6000,NaN,3.85156596219619
7000,1.01448612585525,2.95901452862517
8500,0.990664596003652,2.99405918738176
