timepoint,Bac_Obs,Compound_1_Obs
0,0.00980705020253197,-0.132873147935389
400,0.0603422687051075,0.291898785174753
800,0.0179492977107687,1.53050416970824
1000,NaN,2.15886391116845
1500,0.426102803806834,6.07752545642056
2000,NaN,7.86502901184214
2500,1.04216569224849,6.89978091548063
3000,1.02562125773359,NaN
3500,1.02537251023875,5.36000910296013
4000,NaN,4.3429183656709
4500,1.06734789345288,NaN
5000,NaN,3.86227608233416
5500,0.984766501612089,NaN
6000,NaN,3.17497711576632
7000,1.09847152815733,2.84304422185729
8500,1.10841026066962,2.54675650217694
