timepoint,Bac_Obs,Compound_1_Obs
0,0.0226664163736331,0.0816201454761127
400,NaN,0.316304506412614
450,-0.0257905478756947,NaN
800,NaN,0.947897667957629
900,-0.021085120406388,NaN
1000,NaN,1.04696776931737
1500,0.101511401602927,2.41364326412831
2000,0.420980038711669,7.12308187312838
2500,0.441253489975166,NaN
3000,NaN,5.58118851144593
3500,0.44294716702468,5.20441483526394
4000,NaN,4.27481934561124
4500,0.458404062271243,NaN
5000,NaN,3.34388664594999
5500,0.436206995779756,NaN
6000,NaN,2.80887926971902
7000,0.458155387804296,NaN
7500,NaN,2.43797914973513
8500,0.448788534035097,NaN
