timepoint,Bac_Obs,Compound_1_Obs
0,0.00289915739571499,-0.546206468921493
200,0.0108218820476615,NaN
300,NaN,10.1455184804025
400,0.0297709125463376,NaN
600,0.0783290424520208,NaN
650,NaN,10.3296161670962
800,0.105008783209604,NaN
1000,0.149194932395253,10.1245566023439
1500,0.353147707895797,10.1820994562543
2000,0.456486035017907,8.37907407709586
2500,0.484265155465319,9.96197103934656
3000,0.473058156256155,9.6314265312406
3500,0.462890011816407,NaN
4000,NaN,9.10793668589847
4500,NaN,8.27201108518225
5500,NaN,9.00120879568986
6000,NaN,8.38796860349588
7500,NaN,8.12673645141055
8500,NaN,7.15932996556221
