timepoint,Bac_Obs,Compound_1_Obs
0,-0.034484315059299,-0.915025107313829
350,0.13073190090803,9.57417058219898
700,0.564567615703714,9.40947099839892
1000,1.04431863021678,9.95132803246129
1500,1.24221160379093,10.1408480153698
2000,1.34345141944352,10.2707661146033
2500,1.17286904684466,9.97028209362213
3000,1.22318134356616,10.4661705725949
3500,1.28535708173963,NaN
4000,NaN,9.62719028198265
4500,1.16825723510604,9.80966762565934
5500,1.17349380927808,9.2010949428413
6500,1.25899687709973,9.66207210473807
7500,NaN,8.19461664153194
8000,1.29036483675209,NaN
8500,NaN,8.05359427672812
