timepoint,Bac_Obs,Compound_1_Obs
0,0.028034604807487,-0.0988805062080448
200,-0.00541062428666063,NaN
400,0.0459172182247912,0.0252275910194151
650,0.0536882530211675,NaN
750,NaN,0.22902056208912
850,0.101671364235114,NaN
1000,0.177751908818048,0.512961013861108
1500,0.440336353765383,1.32483759247923
2000,0.484177644010589,1.33465794152903
2500,0.518359821565293,1.49254134172071
3000,0.55079372588337,1.25064912449151
3500,0.559590604508099,NaN
4000,0.512959316815841,1.06749491382848
5000,NaN,0.914911328871352
6000,NaN,0.963861153684603
7000,NaN,0.844521715791587
8500,NaN,0.775004410689349
