timepoint,Bac_Obs,Compound_1_Obs
0,-0.0039003735960428,0.0875763617772228
400,-0.00514907597295657,NaN
450,NaN,0.122401011874209
800,0.0231652602857224,NaN
850,NaN,0.216361859146714
1000,0.066619792778734,NaN
1500,0.251730305589885,0.68573600098239
2000,0.514527337931507,1.3355017912763
2500,0.863200541682588,1.9167603996416
3000,NaN,2.16817854796172
3500,1.10719848300495,NaN
4000,1.12154228239581,1.91069490732339
4500,NaN,1.81029400411383
5000,1.18949871263144,NaN
5500,NaN,1.52889081904388
6000,1.30128951606881,NaN
7000,1.20792190763505,1.4531427766612
8500,1.12596708114197,1.22807962445943
