timepoint,Bac_Obs,Compound_1_Obs
0,0.0185223155311929,-0.20240879775565
300,NaN,9.0723257192344
400,-0.00427966151989098,NaN
600,NaN,8.5774783470439
800,0.0648034891451314,NaN
900,NaN,9.89495354101866
1000,NaN,8.96003532886307
1500,0.49587814732881,9.41948932874989
2000,0.967111659953614,9.51196779496631
2500,1.05168650020327,10.024813493647
3000,1.13848002595163,10.1818889525943
3500,1.21990183928677,10.4718693869432
4000,NaN,9.69936903564932
4500,1.11125076798264,9.84945471768255
5500,1.11623903154814,9.6094496876322
6500,NaN,8.42915170987903
7000,1.13323428394279,NaN
7500,NaN,9.07407009655668
8500,1.16979983307579,7.29947456743817
