timepoint,Bac_Obs,Compound_1_Obs
0,0.00450593905057119,-0.0615698747479755
150,0.0125914213948506,NaN
300,0.0355887179362517,NaN
400,NaN,0.331506421630722
450,0.0264808888558499,NaN
600,0.05644240250447,NaN
800,0.0944042959583676,1.69013666187811
1000,0.151410100822021,2.34331104689202
1500,0.333469966199992,5.73831553616612
2000,NaN,6.99868212193803
3000,NaN,5.45778028112582
3500,NaN,4.92408077227196
4000,NaN,3.93260604988095
5000,NaN,3.35942509224366
6000,NaN,2.93228613553947
7000,NaN,2.81559297117918
8500,NaN,1.99844613981218
