timepoint,Bac_Obs,Compound_1_Obs
0,-0.0134896760592198,-0.000121891802258894
250,NaN,0.0340763962180111
300,0.0286084079361284,NaN
550,NaN,0.115094762702693
600,0.0162610580865744,NaN
800,NaN,0.123635155172191
900,0.018788446972884,NaN
1000,0.00386333528212942,0.161612366193949
1500,0.0354533258035476,0.332057065639116
2000,0.128416231968985,0.505675523466753
2500,0.233574872159953,0.822794373128897
3000,0.389685126358929,1.15089500313213
3500,0.579567252261626,NaN
4000,NaN,1.60080191220469
4500,0.82436867506853,NaN
5500,0.916699565398453,NaN
