t,Ins_Obs,IR1in_Obs,Compound_1_Obs
0,196.522115720585,0,4852.37250129999
4,10.2766921979731,NaN,NaN
7.5,16.5010683141163,NaN,NaN
9.5,NaN,NaN,1805.11650131523
10,10.3131577447957,1.46996718982571,NaN
15,12.4143746623049,NaN,NaN
20,7.60155364973112,3.22474596990049,1470.06777804148
25,6.48206725102393,NaN,NaN
30,NaN,3.0797442949636,528.279157404637
35,9.30814351297449,NaN,NaN
40,6.75222820965753,1.47353315227237,2300.26624446344
50,4.8147072023165,NaN,1425.71953158185
55,NaN,8.90986894980609,NaN
60,1.83692381517699,NaN,NaN
65,NaN,NaN,1196.59337101385
70,NaN,1.20761712696301,NaN
75,NaN,NaN,2075.38491648702
85,NaN,1.4619979776617,NaN
95,NaN,NaN,1724.67423455066
100,NaN,2.45718186327941,1412.07533499045
150,NaN,1.49773619587609,1499.51357491716
200,NaN,0.734753588077531,1116.14094905938
