t,Ins_Obs,IR1in_Obs,Compound_1_Obs
0,8647.92236765164,0,12430.6718075177
4,971.466891150787,NaN,NaN
5,NaN,30.2322903151691,NaN
8.5,1939.01198447224,NaN,NaN
9.5,NaN,NaN,6998.05096874389
10,NaN,89.7706586391097,NaN
15,1803.75272882164,59.834343852585,NaN
20,1917.45303530561,55.3094013461693,4170.60195929053
25,1404.782959819,NaN,NaN
30,1286.06660428237,43.99343690555,9653.17173969747
35,NaN,51.8214014137667,NaN
40,2562.53540461279,NaN,7880.08237327813
45,NaN,102.65252724233,NaN
50,1727.26766830696,NaN,NaN
55,NaN,60.1622995080042,8856.2947435804
65,NaN,23.2760346336967,15188.208242348
80,NaN,42.072090955071,NaN
85,NaN,NaN,16214.3865062785
100,NaN,21.0705838354881,16349.2700194367
150,NaN,NaN,13171.6605619795
200,NaN,NaN,6945.10106103159
