t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs
0,0.373917133163815,13.3041048121883,19.7850502479067,0.0443772532831023,-0.290048930398207,-0.00211061104162524,20.7852007890274,19.2193153648366,0.064061500913154,0.00672045236990689
7,NaN,41.3763503944303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,0.121896003461561,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,5.17253045348268,NaN,NaN,NaN,NaN,NaN
9.5,0.242327075381909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,43.8855040001611,0.045177653518017,NaN,NaN,17.2907401702786,18.0690513232418,0.0968176815577772,NaN
15,NaN,51.582242967945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13206007790532
20,0.511863180670287,52.962750464504,NaN,NaN,5.8492655030414,0.239974025474828,15.4806878939674,NaN,0.386674757352934,NaN
25,NaN,NaN,54.7881625934934,0.267575830117447,NaN,NaN,NaN,17.2627350472762,NaN,0.177009218102054
30,0.921966080735963,41.1344506288995,NaN,NaN,5.06655078940878,0.261230926219272,18.0348801756133,NaN,0.882273178662563,NaN
35,NaN,NaN,31.3085574120156,1.10879213719701,NaN,NaN,NaN,NaN,NaN,NaN
40,2.05303112994504,31.6639399718198,NaN,NaN,4.36365975222663,0.179681526697847,NaN,21.3590195760414,NaN,0.15564703249426
45,NaN,NaN,NaN,NaN,NaN,NaN,20.1943038243867,NaN,2.16883420873895,NaN
50,NaN,27.4077807195094,31.0520038925954,2.31583326861215,2.79529401950923,0.101776077540792,NaN,NaN,NaN,NaN
55,2.26411683490879,NaN,NaN,NaN,NaN,NaN,NaN,14.6707019812005,NaN,0.0918712588797792
60,NaN,26.4833932456193,NaN,NaN,NaN,NaN,21.043663072107,NaN,2.00471942352945,NaN
65,NaN,NaN,22.5678370359781,1.81668027028451,2.14784766671502,0.0427470354853263,NaN,NaN,NaN,NaN
70,1.53874156534495,NaN,NaN,NaN,NaN,NaN,NaN,17.9649659000334,NaN,NaN
75,NaN,19.2849066219938,NaN,NaN,NaN,NaN,19.5824949886597,NaN,NaN,0.0262143333316905
80,NaN,NaN,NaN,NaN,1.39181850243064,NaN,NaN,NaN,0.813537096563841,NaN
85,0.710479703980692,NaN,24.0247301924633,0.631216006333551,NaN,-0.00456069605388414,NaN,NaN,NaN,NaN
90,NaN,16.2297280694861,NaN,NaN,NaN,NaN,NaN,18.0945072385969,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,19.58987475796,NaN,NaN,NaN
100,0.286305563526479,17.9360979473871,20.7886174842524,0.233049880185757,0.598952391865379,0.038078262181965,NaN,22.0036511084083,0.270965524265263,-0.00638424263817324
150,0.441501172192412,26.8299962598144,NaN,0.391735461910328,1.28068602777693,0.0272139574252349,NaN,NaN,0.282587232860412,0.0257547635938717
