t,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs
0,16.3331838288334,19.4304210743875,0.0654901308616763,0.00929781681585491,0.18818096468059,0.00602087043353552
8,52.9456408287462,NaN,NaN,NaN,0.168045198160548,NaN
9,NaN,60.1494231743213,NaN,NaN,NaN,NaN
10,NaN,NaN,6.66945795137006,0.223090805411647,NaN,0.12107157097701
15,53.1632735311475,NaN,NaN,NaN,0.0258481869753349,NaN
20,NaN,52.6605808233914,NaN,0.351331176788584,NaN,NaN
25,54.1425562074006,NaN,5.56306180090864,NaN,0.784985370445312,0.252521581628523
30,NaN,46.945265446957,NaN,NaN,NaN,NaN
35,38.527404787342,NaN,4.84374191062967,0.262609404810911,1.92936489265529,0.223199066606604
40,NaN,30.3035466447446,NaN,NaN,NaN,NaN
45,32.5223622293195,NaN,NaN,0.131320789843267,3.13152244901323,NaN
50,NaN,22.2914028078518,3.96823112861303,NaN,NaN,0.140592635762069
60,16.6789823013258,NaN,NaN,0.0391795005032344,2.5166300686039,NaN
65,NaN,19.6097311456929,2.35150307043467,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.0483586011615388
75,18.7450240148905,NaN,NaN,0.0190447437723579,1.25586488785766,NaN
80,NaN,20.3672066007247,1.62911487928018,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.0306528073228567
90,NaN,NaN,NaN,NaN,0.38571854923581,NaN
95,23.9188986389774,NaN,NaN,0.0060432986090115,NaN,NaN
100,23.7543135994249,23.2401215138275,1.54103526201277,0.028699423253473,0.164412237105951,0.0412838607346219
150,NaN,NaN,2.75025426727633,0.0536471774319529,NaN,0.0333156926825143
200,NaN,NaN,2.07068498516897,NaN,NaN,NaN
