t,input_il6,Compound_4_Obs
110,0,0.00842877177742389
110,0,0.015595789246036
110,0,0.012126125174948
110,0,0.0245202855993959
110,0,0.0216096845252406
110,0,0.0151219472123985
110,0.0005,0.0267018195921223
110,0.0005,0.00502055535667851
110,0.0005,-0.0120112639454645
110,0.0005,0.015514559383805
110,0.0005,0.0108768918562831
110,0.0005,-0.0128333628661888
110,0.005,0.0134139939450405
110,0.005,0.0144395792004755
110,0.05,0.0195739605001991
110,0.05,0.0280847062354144
110,0.05,0.0259834317790096
110,0.05,0.0299989738206114
110,0.1,0.0181286709669937
110,0.1,0.0150897390440285
110,0.5,0.0439556525744886
110,0.5,0.0360553825866348
110,0.5,0.0398781769992781
110,0.5,0.045401507329632
110,0.5,0.0473376264665305
110,0.5,0.0517481194570105
110,1,0.0945833303647031
110,1,0.0845001875897205
110,1,0.091859030895639
110,1,0.0789344089814801
110,1,0.0692636471780492
110,1,0.0674169600422556
110,2.5,0.241621419908366
110,2.5,0.242781687042942
110,5,0.255759839628131
110,5,0.246103156112051
110,10,0.121954317558212
110,10,0.112178547569158
110,10,0.147298826402268
110,10,0.126919297037291
110,25,0.18620884023747
110,25,0.179502551010956
110,25,0.128411481425489
110,25,0.143514662932259
110,50,0.124643766654192
110,50,0.129680959575894
110,50,0.13210388512122
110,50,0.131058217671461
110,50,0.192152262565306
110,50,0.154952167311202
110,50,0.177279663819256
110,50,0.16774766802531
110,100,0.249039414183801
110,100,0.239762754509068
110,100,0.144212498812748
110,100,0.126496062554043
110,200,0.13878491343908
110,200,0.132774429381691
110,200,0.158356728475926
110,200,0.14602346487078
110,200,0.136573391259567
110,200,0.134143446639209
110,500,0.149107013898169
110,500,0.119954969626216
110,500,0.156330571869748
110,500,0.134387775817016
110,500,0.150456331020386
110,500,0.126222545507921
