t,input_il6,Compound_4_Obs
790,0.1,0.00706542778456813
790,0.1,0.0215073125818933
790,0.5,-0.0162868135395835
790,0.5,0.00367927500505247
790,1,0.0263418234664674
790,1,0.0132527593341436
790,2.5,0.164825296454343
790,2.5,0.154801503122226
790,5,0.409017436369977
790,5,0.398185717718343
790,10,0.0361768886870018
790,10,0.0344326818720834
790,25,0.238305968033898
790,25,0.263065223500698
790,50,0.0756768713289289
790,50,0.0484748429446018
790,100,0.332537444191516
790,100,0.312727264243422
790,500,0.52691809977115
790,500,0.546560877070364
