t,Compound_3_Obs,Compound_6_Obs
0,16.6307035705844,0.00283184130672499
20,59.3471972461373,NaN
25,NaN,0.181828417313601
35,51.1328781607632,NaN
45,NaN,0.168699806362911
55,57.2216780340835,NaN
70,NaN,0.143925459431422
75,57.488114575942,NaN
95,NaN,0.145212496926311
100,60.1519813251677,NaN
150,49.8717516583111,0.121684824942721
200,42.1234353940081,0.0835055273683181
250,41.6200421866691,0.0783273297779335
300,47.0087055373292,0.0806588187647475
350,30.0658230216628,0.0603619962394761
450,46.8771442757771,0.0529945494624578
