t,input_il6,Compound_4_Obs
33,0,0.00412768677622381
33,0,0.00751935073762837
33,0.5,-0.000720420903011301
33,0.5,0.000255521211143087
33,1,-0.00671983565738816
33,1,0.0180083288547525
33,2.5,0.0039920550342021
33,2.5,0.0141031690718154
33,5,0.0247263674268117
33,5,0.0385442192511478
33,10,0.0250458225862704
33,10,0.0467606947809563
33,25,0.0736025323616846
33,25,0.0839164039229087
33,50,0.130442150932387
33,50,0.154580043209118
33,100,0.201657836181348
33,100,0.22002976754718
33,500,0.327191137458783
33,500,0.333965818080553
