t,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs
0,18.0226777650158,19.921356798652,0.0460312684186375,0.00570746869692044,0.0952404295095324,0.00407739785356103
8,NaN,31.3486573925262,1.50600768935891,NaN,NaN,NaN
8.5,27.5541883349657,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,0.0291769419508544,NaN,0.00332826564545886
10,NaN,NaN,NaN,NaN,0.0398285252364453,NaN
15,NaN,36.2683533645493,2.45863116946907,NaN,NaN,NaN
20,35.5003057256494,NaN,NaN,0.083437084685577,0.108503425099751,0.0444871859892647
25,36.838888903108,34.3100310036403,3.10594782389034,NaN,NaN,NaN
30,NaN,NaN,NaN,0.0991140426905439,0.248985407072977,0.0620699358220921
35,31.8816117874585,36.8585085482235,3.12908803258084,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,0.0690429338323284
45,NaN,35.0297417305117,2.181914698697,0.0945144382971036,0.693325372761979,NaN
50,25.6552197077261,NaN,NaN,NaN,NaN,NaN
55,NaN,24.0729068233724,2.40837685963559,NaN,0.872423761756503,0.0576523132373462
60,23.7371586299322,NaN,NaN,0.0406623207637234,NaN,NaN
65,NaN,NaN,1.58912333714717,NaN,NaN,NaN
70,NaN,24.314930739576,NaN,NaN,0.809858976667873,0.0385365038611431
75,27.0236184789765,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,1.5284579674327,0.0322049797838611,NaN,NaN
85,NaN,21.045009375389,NaN,NaN,NaN,0.020239433398396
90,NaN,NaN,NaN,NaN,0.44478216596621,NaN
95,28.0686400232883,NaN,1.19894966261365,NaN,NaN,NaN
100,22.2525772204596,24.003904035048,1.10640649188992,NaN,0.259786857768315,0.0155374835605334
150,24.4712624546503,25.3741607544894,1.46946367160791,NaN,0.253234353092753,0.0174490254856096
200,NaN,22.9447311645518,NaN,NaN,NaN,NaN
