t,Compound_1_Obs,Compound_4_Obs,Compound_5_Obs,Compound_9_Obs
0,0.432856930721474,0.0133552665733592,0.200659902954988,0.012472219605605
90,0.515579433990675,NaN,NaN,NaN
100,NaN,NaN,0.194373456164363,0.0139028864755735
150,NaN,0.0137674594744618,NaN,NaN
200,0.445693828098443,NaN,0.163673635213999,NaN
250,NaN,0.0121982611514564,NaN,0.0121081562375178
300,0.36278587773603,NaN,NaN,NaN
350,NaN,NaN,0.170832866951928,0.0126751630603848
400,0.391318503018416,0.0111048263176456,NaN,NaN
450,NaN,NaN,0.154886625457666,NaN
500,0.412159577393246,NaN,NaN,0.0119229561061845
550,NaN,0.0143692130216064,NaN,NaN
600,NaN,NaN,0.180323683588279,NaN
650,0.326882021119812,NaN,NaN,0.0122836227427735
750,NaN,0.0109821297065363,NaN,NaN
800,0.454122911235422,NaN,0.210129492025297,NaN
850,NaN,NaN,NaN,0.0136256092651712
1000,0.392572446386483,0.012103636287341,0.143195720805089,0.0124070497667115
1500,NaN,0.0131594180599775,NaN,0.0127987668892321
