t,input_il6,Compound_4_Obs
690,0.1,0.00722467085256065
690,0.1,0.0515309670841013
690,0.5,0.0205646782175617
690,0.5,0.0253293812328716
690,1,0.0577503165181991
690,1,0.0759291692534043
690,2.5,0.101657313921075
690,2.5,0.129435941935682
690,5,0.191634333883017
690,5,0.191669114307985
690,10,0.225816801766686
690,10,0.287458470433736
690,25,0.332440326775137
690,25,0.355096195559443
690,50,0.389962925510206
690,50,0.476186234170266
690,100,0.496959558861002
690,100,0.517732892277357
690,500,0.556918005305799
690,500,0.57406320549604
