t,X_protein_Obs,Y_protein_Obs,GFP_Obs
0,243.200578620041,922.725211251609,-3.28772098543342
25,4297.2309693343,NaN,NaN
45,NaN,5986.68918737413,NaN
50,1093.08328266741,NaN,NaN
70,NaN,NaN,2.70077441389509
80,259.352660384784,NaN,NaN
90,NaN,1007.48248814688,NaN
100,618.440495483015,NaN,NaN
150,738.065296658585,329.254750533311,45.8048219797827
200,447.428643385896,382.678973937342,15.1231882670207
250,213.799193282717,341.634334888813,NaN
300,541.292197057315,NaN,60.2476181462202
350,NaN,783.693915498187,NaN
400,704.246669354431,NaN,52.4476407964987
450,NaN,-423.243217424536,NaN
500,NaN,NaN,51.9992254772177
650,NaN,NaN,62.6993223659722
800,NaN,NaN,54.1828694241597
950,NaN,NaN,59.5238782827664
1000,NaN,NaN,54.7457237310053
1500,NaN,NaN,52.4021016401284
