t,IPR_R_Obs,IPR_I1_Obs
0,1.08225382480961,7.2670265817843e-11
0.1,0.00361056521257258,NaN
0.15,NaN,4.3931953793502e-07
0.2,1.74382206000977e-05,NaN
0.3,NaN,2.31679344308443e-07
0.35,1.0525496595061e-06,NaN
0.45,4.93689011715658e-07,NaN
0.5,NaN,1.46893456342207e-07
0.6,1.01607049202779e-06,NaN
0.65,NaN,8.77587685159626e-08
0.8,4.01565418223277e-07,NaN
0.85,NaN,7.53738811605332e-08
1,3.73799070647737e-07,7.31206187090248e-08
1.5,NaN,1.88329815423048e-08
2,NaN,9.31179137529402e-09
2.5,NaN,2.10658436926759e-09
3,NaN,1.09619489331773e-09
