t,IPR_R_Obs,IPR_I1_Obs
0,1.06519801463037,3.94879902679389e-10
0.09,0.0572462423846144,NaN
0.15,NaN,6.37543920467735e-07
0.2,0.00279895287746773,NaN
0.3,0.000115941921848115,2.99657020488884e-07
0.4,1.50772032027692e-05,NaN
0.45,NaN,3.95289447703329e-07
0.5,7.65563826591329e-06,NaN
0.6,NaN,2.58322750992616e-07
0.65,4.62665737957297e-06,NaN
0.8,7.08235139648143e-06,1.60965970174366e-07
1,7.53404566774308e-06,1.46345132535714e-07
1.5,NaN,4.89793665024377e-08
2,NaN,2.37712236472217e-08
2.5,NaN,8.73104120609004e-09
3,NaN,1.74969661788211e-09
