t,IPR_R_Obs,IPR_I1_Obs
0,1.10105670861002,1.19056720259024e-10
0.1,0.00120946461885149,NaN
0.2,6.15194920463467e-06,NaN
0.25,NaN,1.27736303917217e-07
0.35,4.47317233701194e-06,NaN
0.45,2.56377215408947e-06,NaN
0.55,NaN,2.14444743260184e-07
0.6,3.70706691329622e-06,NaN
0.8,3.04607458178002e-06,NaN
0.85,NaN,6.45619729018472e-08
1,3.70341978619603e-06,4.36924761474518e-08
1.5,NaN,2.74984161217992e-08
2,NaN,6.11837539167118e-09
2.5,NaN,3.60708978528168e-09
3,NaN,2.03332234383942e-09
3.5,NaN,3.35609622949733e-10
4.5,NaN,2.09499980334867e-10
