t,IPR_R_Obs,IPR_I1_Obs
0,0.699456468311427,1.23882234572856e-10
0.075,0.0185949012443482,NaN
0.15,0.000204845071246089,NaN
0.2,NaN,3.61168464885291e-07
0.25,1.14630973786558e-06,NaN
0.35,3.36954328296123e-07,1.79363076395476e-07
0.45,2.03151534681339e-07,NaN
0.55,2.38505067651272e-07,2.2214202585677e-07
0.7,2.18364057857219e-07,NaN
0.75,NaN,9.22088174304063e-08
0.9,2.11898905160632e-07,NaN
1,NaN,4.8853677415921e-08
1.5,NaN,2.86344578121575e-08
2,NaN,7.44903384007788e-09
2.5,NaN,3.91559762091947e-09
3,NaN,1.10952010210352e-09
3.5,NaN,6.04163903829889e-10
