t,IPR_R_Obs,IPR_I1_Obs
0,0.84235133741195,1.116514739441e-10
0.08,0.00573408309043082,NaN
0.15,0.000165262912953863,2.38940996787606e-07
0.25,5.58510994293945e-06,NaN
0.3,NaN,3.11250379214035e-07
0.35,4.40672328354826e-06,NaN
0.45,NaN,1.7829318207547e-07
0.5,3.33548907838311e-06,NaN
0.6,3.01805220576743e-06,8.27863884190222e-08
0.75,2.86280812904892e-06,7.16345711439532e-08
0.95,3.08764837767469e-06,8.7063267916505e-08
1,NaN,6.88244967313881e-08
1.5,NaN,2.00032059070871e-08
2,NaN,8.33488138867877e-09
2.5,NaN,2.72533370570913e-09
3,NaN,8.33564817845054e-10
