t,IPR_R_Obs,IPR_I1_Obs
0,1.47064536490296,1.13978221688002e-10
0.095,0.00323383682503673,NaN
0.15,NaN,2.74527654848921e-07
0.2,1.32197528577635e-05,NaN
0.3,1.86813584913138e-06,1.53804660480672e-07
0.4,2.18760551512939e-06,NaN
0.45,NaN,1.88772274892646e-07
0.55,1.05281335022318e-06,NaN
0.6,NaN,8.18502533091397e-08
0.7,1.33182810603566e-06,NaN
0.8,NaN,7.050764973755e-08
0.9,1.36856553068223e-06,NaN
1,1.50688314538149e-06,7.00428641689376e-08
1.5,NaN,2.21509072956388e-08
2,NaN,5.38406781059032e-09
2.5,NaN,4.12567885539275e-09
3,NaN,7.783237581827e-10
