t,IPR_R_Obs,IPR_I1_Obs
0,1.01372355919574,8.10670586654993e-10
0.1,0.202857469822933,NaN
0.2,0.0206506635423491,6.72495432565202e-07
0.3,0.00357045788603702,NaN
0.4,NaN,5.73768823071546e-07
0.45,0.000302872503880119,NaN
0.6,1.73318579348549e-05,NaN
0.65,NaN,3.16100387576704e-07
0.8,1.05335974595898e-05,NaN
0.9,NaN,1.69217705230214e-07
1,1.21670954196591e-05,1.41585319953024e-07
1.5,NaN,1.00906368109836e-07
2,NaN,3.5692404850733e-08
2.5,NaN,9.82772699377065e-09
3,NaN,5.88163950739891e-09
3.5,NaN,2.77417440003162e-09
