t,AC_Fsk_Obs,pAC_Fsk_Obs,cAMP_Obs
0,0.000323219282243184,0.0345293917895119,0.00020001682052416
4.5,NaN,0.0772436795323439,NaN
7,NaN,NaN,0.10702586282791
8.5,0.00166749234856091,NaN,NaN
9.5,NaN,0.0462287256762553,NaN
15,-0.00168350822492986,-0.00339467646182183,0.202742028673849
20,NaN,0.047321683771746,0.147113111846373
25,0.00163139071402367,-0.137695488873838,NaN
30,NaN,0.0227521790034265,0.0688647330165171
35,0.00134831500576361,NaN,NaN
40,NaN,-0.0855346042489968,-0.156813241122179
45,NaN,0.136902084193076,NaN
50,0.000828564753856603,NaN,0.151953472112844
55,NaN,0.0368842688436912,NaN
60,-0.00161812564059255,NaN,NaN
65,NaN,NaN,2.79603853865797
70,NaN,0.106906809541737,NaN
75,0.0374814537839274,NaN,NaN
80,NaN,-0.0515324818032654,2.78534133103366
95,0.0375973461449006,NaN,NaN
100,0.0352479373822666,-0.0280492230712451,2.8293562647153
