t,AC_Fsk_Obs,cAMP_Obs,RIIp_cAMP_C_2_Obs
0,0.00459797351553664,-0.400525546534634,0.00619486683653794
6,NaN,0.1786580481512,NaN
8.5,-0.0078924451819759,NaN,NaN
10,NaN,-0.0532925413233345,NaN
20,-0.000889875510381348,0.403942626529975,0.00514901671073608
25,NaN,0.154619422079161,NaN
30,0.00407184406297821,NaN,NaN
35,NaN,0.580479438523357,NaN
40,0.00837055719861186,NaN,NaN
45,NaN,0.0987909428118304,-0.000950873430770299
50,0.000748007509980821,NaN,NaN
55,NaN,-0.186340189893361,NaN
65,0.108889745127176,7.83728417433607,NaN
70,NaN,NaN,0.0544309523772224
80,0.106423296724018,7.98543989456333,NaN
95,NaN,NaN,0.0422200471790216
100,0.102789670944011,7.64952291121441,NaN
150,NaN,NaN,0.0366404655503267
200,NaN,NaN,0.0326231653857026
250,NaN,NaN,0.033079274954495
300,NaN,NaN,0.0327006704705851
