t,AC_Fsk_Obs,pAC_Fsk_Obs,cAMP_Obs
0,0.0104542650263909,0.0820466931327112,-0.510915808759519
4,-0.0333706714313314,NaN,NaN
5,NaN,-0.0624794223546216,NaN
8.5,0.00106411224908176,NaN,NaN
9.5,NaN,NaN,-3.41350309295734
10,NaN,0.317743171643031,NaN
15,0.276378238063791,0.0242988954400597,NaN
20,0.321867356921833,-0.145203840428557,18.5042415970016
25,0.251224879694193,NaN,NaN
30,0.253177232795508,-0.136220811363354,17.2160157973844
35,0.312760282323186,-0.0118705829911637,NaN
40,NaN,NaN,23.1844252002359
45,0.263759473103522,0.0729603579041427,NaN
50,NaN,NaN,18.8494532960014
55,0.277661746705544,0.173417611294206,NaN
65,NaN,-0.100319970082637,16.435160685381
70,0.267562354644869,NaN,NaN
75,NaN,NaN,23.7634343277366
80,NaN,0.0982528864664276,NaN
95,NaN,NaN,21.5048257474976
100,NaN,-0.00730608108511972,20.6621307098663
150,NaN,NaN,21.3625386115458
200,NaN,NaN,18.4899755917152
250,NaN,NaN,18.4598740857482
