t,AC_Fsk_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs
0,-0.219900564111602,0.751837454119059,0.00411062684026394
15,-0.0927334988107035,NaN,NaN
20,NaN,0.79086675483199,NaN
25,NaN,NaN,0.00365329716759863
30,0.0139431970683987,NaN,NaN
45,NaN,0.539878180065898,NaN
50,0.122657802190938,NaN,0.00244745830242009
65,NaN,0.610084885469863,NaN
70,-0.0710457705291933,NaN,NaN
80,NaN,NaN,0.00320276848182866
90,0.00630420070523152,0.759758994779051,NaN
100,0.028591612594193,0.631991699222309,0.00307482917127744
150,NaN,0.602985041878211,0.00222421852238962
200,NaN,0.537111310128511,0.00315046689571413
250,NaN,0.633863354903954,0.00259166259342164
300,NaN,0.507786016409892,0.00207850604556008
350,NaN,0.531882415576224,0.00259807499458521
450,NaN,0.33832021889084,0.00256580413871824
