t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,-0.0152474026196626,1.05856833740632,0.568708992162833
6,NaN,0.0256804177455221,NaN
6.5,-0.00522057297990841,NaN,NaN
10,NaN,1.20151098150609,NaN
15,0.00465199423781407,NaN,NaN
20,-0.00525049157411743,-1.08788046763313,0.574905443633936
25,NaN,-0.258504506245636,NaN
30,-0.000650805677174342,NaN,NaN
35,NaN,0.0272806871024247,NaN
40,-0.0186899548067932,NaN,0.74529139026874
45,NaN,0.599149154818566,NaN
50,-0.00466203130546882,NaN,NaN
55,NaN,1.73143805540003,NaN
60,NaN,NaN,0.763916525584506
65,0.290882061577387,NaN,NaN
70,NaN,20.275614599359,NaN
80,0.26065725942478,NaN,NaN
85,NaN,20.6719033019647,0.763418502909387
95,0.281140101009261,NaN,NaN
100,NaN,20.3653948021977,0.621368960144622
150,NaN,NaN,0.585525322936517
200,NaN,NaN,0.528695179967392
250,NaN,NaN,0.591932648382648
300,NaN,NaN,0.596684780743455
