t,AC_Fsk_Obs,cAMP_Obs,RIIp_cAMP_C_2_Obs
0,-0.00474234589656233,0.0536831497600954,0.00312008740338314
6.5,NaN,0.182321156180234,NaN
8,0.0049162013486755,NaN,NaN
15,-0.00501342558044372,-0.00448305702761219,NaN
20,NaN,0.176023878581959,0.00389334545822032
25,0.0111706881315028,NaN,NaN
30,NaN,-0.160059586292488,NaN
35,0.000930237222846498,NaN,NaN
40,NaN,0.277992133815203,NaN
45,NaN,NaN,0.00375295131553509
50,-0.00577070160126013,-0.0244909182954615,NaN
60,NaN,0.433130351400267,NaN
65,0.102535583496543,NaN,NaN
70,NaN,NaN,0.053093383737702
75,NaN,7.29185234473093,NaN
80,0.104051179702087,NaN,NaN
90,NaN,8.07123353985513,NaN
95,NaN,NaN,0.033164931411517
100,0.0988290827316784,8.21397621423466,NaN
150,NaN,NaN,0.0307862201584795
200,NaN,NaN,0.0270752508937691
250,NaN,NaN,0.0234854765319836
300,NaN,NaN,0.0258744584756141
350,NaN,NaN,0.0211633324553469
400,NaN,NaN,0.0217119927340606
