t,AC_Fsk_Obs,cAMP_Obs,RIIp_cAMP_C_2_Obs
0,0.00201736129924483,0.215025458379047,0.00275264387387032
6.5,NaN,0.352760110263256,NaN
8,-0.0050790532178191,NaN,NaN
10,NaN,NaN,0.0041187342700236
15,0.00189256166551746,0.0492158374261878,NaN
20,NaN,0.0884158890674037,0.00219481655233768
25,-0.000673862750839061,NaN,NaN
30,NaN,-0.0509979270104865,NaN
35,-0.00039549122180291,-0.0766884807304363,0.0047864860271209
45,NaN,0.55864247349389,0.00108352560896725
50,-0.00211002590263476,NaN,NaN
60,0.0102779320287096,0.0190491867178011,0.000681304963315435
75,0.100863660657201,8.01549347872976,NaN
80,NaN,NaN,0.0470934193992943
90,NaN,7.7368207501875,NaN
95,0.101003806897215,NaN,NaN
100,0.10322628908862,7.9818571347161,0.0476597498729229
150,NaN,NaN,0.0486511170186182
