t,AC_Fsk_Obs,pAC_Fsk_Obs,cAMP_Obs
0,0.00727728084434579,0.0509655966426024,0.301532260473203
6,NaN,NaN,-0.10267274619166
9,-0.00262751259596833,NaN,NaN
10,NaN,NaN,0.116059766913147
20,0.000544146761973119,0.074531765921824,0.229362482470474
25,NaN,NaN,0.0354818906112496
30,0.00427902657556665,NaN,NaN
35,NaN,0.00712878093841581,0.0483881797376104
40,-8.70686776350728e-05,NaN,NaN
45,NaN,NaN,0.357144600469489
55,0.00670794596493075,-0.0638147465919077,0.218020371279473
65,0.0978692299490596,NaN,NaN
70,NaN,NaN,7.62756694902712
75,NaN,-0.266914687391838,NaN
85,0.103965782450446,NaN,7.87143124454406
100,0.104272267393274,-0.000769667154051094,7.86780227785687
150,0.100663662516982,-0.0655042074470925,NaN
200,NaN,-0.124103349840224,NaN
250,NaN,0.0959132245628775,NaN
300,NaN,-0.0279400592234623,NaN
350,NaN,0.0262324552018344,NaN
450,NaN,0.0251627958786029,NaN
