t,AC_Fsk_Obs,pAC_Fsk_Obs,RII_C_2_Obs
0,-0.0287069589339885,-0.0019694083140207,0.704304090257124
4,-0.0413653816287056,NaN,NaN
6,NaN,0.0318584331314867,NaN
8,-0.300927734025737,NaN,NaN
10,-0.158725923169334,-0.0976814735603178,NaN
20,-0.126264434910432,0.0272351411202328,0.808905598912839
25,0.179852954465079,-0.243897941055616,NaN
30,-0.0350242142877682,NaN,NaN
35,NaN,-0.166639186257037,NaN
40,NaN,NaN,0.631977046490458
45,NaN,0.0481468218767032,NaN
60,NaN,0.0398250724625953,0.574565225224682
75,NaN,-0.0193930316992318,NaN
80,NaN,NaN,0.509081811709206
100,NaN,NaN,0.621950717170862
150,NaN,NaN,0.563863136700336
200,NaN,NaN,0.571019809124145
250,NaN,NaN,0.471041087059413
300,NaN,NaN,0.842890658147365
