t,AC_Fsk_Obs,pAC_Fsk_Obs,cAMP_Obs
0,0.012777733969175,-0.0486748903605067,-12.8577806102877
0.2,0.284746092357139,-0.0229741428811185,NaN
0.35,0.257989825804303,NaN,NaN
0.4,NaN,-0.155152176485475,NaN
0.55,0.285256095069893,NaN,NaN
0.6,NaN,0.0110000002344018,NaN
0.8,0.267902693481032,NaN,NaN
0.85,NaN,0.0325615124852903,NaN
1,0.249990741963826,-0.0195772957757507,NaN
1.5,0.279710659804184,-0.00273721056963027,NaN
2,0.279968008664904,0.124478315228609,NaN
2.5,NaN,NaN,138.766837970524
5,NaN,NaN,135.07984606945
8,NaN,NaN,123.416054070698
10,NaN,NaN,126.617564860082
15,NaN,NaN,134.4022679574
