t,AC_Fsk_Obs,pAC_Fsk_Obs,cAMP_Obs
0,0.0104052616183316,-0.084191040256613,13.5948683301528
4,-0.0320198473440291,NaN,NaN
6,NaN,-0.0149895337636001,NaN
7,NaN,NaN,0.987625532037842
8.5,0.00668178832312591,NaN,NaN
10,NaN,0.108361774916817,NaN
15,0.291128274758039,NaN,125.834046966283
20,0.281928766823178,-0.157654402199787,121.518482689651
25,0.275873159945385,-0.0662324985354499,NaN
30,0.292864064127228,0.197992746791251,120.456582136197
35,0.224210450929074,NaN,155.457577348399
40,NaN,-0.248828346444754,NaN
45,0.260816812839791,NaN,130.474269919088
50,NaN,0.00891647500178021,NaN
55,0.274133308626892,NaN,NaN
60,NaN,0.0786348537931843,137.604597787947
70,0.261389503914291,NaN,113.72875998496
75,NaN,-0.108157413030976,NaN
85,NaN,NaN,112.842711339219
90,NaN,0.0336708356797746,NaN
100,NaN,-0.171070726211498,142.550658508003
150,NaN,NaN,136.94725231667
