t,AC_Fsk_Obs,pAC_Fsk_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs
0,-0.101822541522051,0.008622842708578,0.736062484425586,0.00360689991132085
3.5,-0.171693450183903,NaN,NaN,NaN
7,-0.144501275431166,NaN,NaN,0.00348750311735127
9.5,NaN,NaN,0.693841004694554,NaN
10,-0.0763573051547282,-0.138943958306409,NaN,NaN
15,-0.181563934102324,NaN,NaN,0.00349849963195965
20,-0.0273455389590943,0.219653988378804,0.825837444368105,0.00288121350886504
25,-0.0939866739195941,NaN,NaN,NaN
30,NaN,NaN,0.820386560602935,0.00311024413294068
35,0.0863194385584745,-0.268536951120819,NaN,NaN
40,NaN,NaN,NaN,0.00362743195900731
45,NaN,-0.123594078224099,0.797283820959288,NaN
55,NaN,NaN,NaN,0.00390498106931878
60,NaN,-0.00875095078313163,0.753293042196556,NaN
65,NaN,NaN,NaN,0.00296053268922093
75,NaN,-0.0569879738440861,0.695313460893224,NaN
85,NaN,NaN,NaN,0.0035209401953152
90,NaN,-0.120766108769297,NaN,NaN
95,NaN,NaN,0.690767877553498,NaN
100,NaN,0.132389369842673,NaN,NaN
150,NaN,0.207183762049143,NaN,NaN
200,NaN,-0.139400569700443,NaN,NaN
250,NaN,-0.146571685567278,NaN,NaN
300,NaN,0.10295145568294,NaN,NaN
