t,AC_Fsk_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_C_2_Obs
0,0.238424588779335,0.614870750201359,0.00319465694482389,0.175828720719832
3.5,0.104484218382633,NaN,NaN,NaN
7.5,0.132251525510178,NaN,NaN,NaN
9,NaN,NaN,NaN,0.0183313678588138
10,0.263334022051941,NaN,0.000259548436137119,NaN
15,0.0510824536076057,0.650616954138229,NaN,NaN
20,0.00220800662839561,NaN,NaN,0.0095035604326182
25,NaN,NaN,6.17364955476451e-05,NaN
30,-0.107212081589287,0.587343512240991,NaN,0.00996865817588411
35,-0.0129206776502406,NaN,NaN,NaN
40,NaN,NaN,0.000203930076504441,NaN
45,NaN,NaN,NaN,0.00563708837066148
50,NaN,0.591702163062002,NaN,NaN
55,NaN,NaN,0.000271080406019064,0.014580992063485
65,NaN,0.59506451382589,NaN,NaN
75,NaN,NaN,0.000165654538583447,0.00865770634930803
85,NaN,0.768173470089387,NaN,NaN
95,NaN,NaN,3.77957250414241e-05,NaN
100,NaN,0.602887063726904,NaN,NaN
150,NaN,0.658176941674562,NaN,NaN
200,NaN,0.638560092947303,NaN,NaN
250,NaN,0.503051352626668,NaN,NaN
300,NaN,0.594213029557667,NaN,NaN
