t,RAF_Obs,pRAF_Obs,Compound_1_Obs,Compound_2_Obs
0,0.887691464059875,1.5303026838087e-05,1.81345677387468,2.16008252551662
0.15,NaN,5.15131312584652e-05,NaN,NaN
0.2,0.875084791627345,NaN,NaN,2.10868391206349
0.25,NaN,NaN,1.61657131445919,NaN
0.3,NaN,4.99922829349575e-05,NaN,NaN
0.35,1.02278691404073,NaN,NaN,2.0520117740366
0.45,NaN,NaN,2.4395444052172,NaN
0.5,NaN,4.32303486933131e-05,NaN,NaN
0.55,0.945658349192124,NaN,NaN,2.18173726174827
0.65,NaN,4.28893064518805e-05,NaN,NaN
0.7,NaN,NaN,2.05951949285706,NaN
0.8,1.05890899663373,NaN,NaN,1.90210860636662
0.85,NaN,2.622847506581e-05,NaN,NaN
1,0.83572807045805,3.71587113844853e-05,2.3528840851424,1.84998615381495
1.5,0.908949415938148,2.25109934566501e-05,2.20515371746074,1.87832053714435
2,0.853655123374826,1.61992069341125e-05,2.04873156777713,1.61632890204983
2.5,0.826399043142569,1.72076274945332e-05,2.11790859521087,1.73911400127285
3,1.00303406760005,1.6698405092904e-05,1.76168893176737,2.01634224639958
3.5,NaN,1.79127295726263e-05,NaN,NaN
4,NaN,NaN,1.8541388017889,NaN
