t,PKD_Obs,PI4K3Ba_Obs,CERTTGNa_Obs
0,364705.52311978,1485163.15029019,42356443.9535948
2,NaN,38986668.4005162,NaN
3.5,321916.519552184,NaN,79961798.5751142
4.5,NaN,38058357.6725864,NaN
6.5,NaN,42702643.4123828,96292983.4471991
7,340011.252145077,NaN,NaN
9,NaN,41129546.1882988,NaN
10,356755.764203864,44407718.4413259,123102475.30789
15,332566.994065138,46607441.7536087,135820730.760414
20,354983.050466165,54771605.6373297,135940474.394841
25,273223.707307616,147209749.732967,110282938.661702
30,148847.993089229,185950199.918471,146383987.6657
35,129604.257274125,NaN,179082655.602316
40,83745.3519836763,NaN,184346956.34515
50,146733.397536265,NaN,205897214.986717
60,128073.342511686,NaN,237103379.083835
70,129826.527997622,NaN,258574526.7289
