t,PKD_Obs,PI4K3Ba_Obs,CERTTGNa_Obs
0,357551.295965917,640747.966887791,32331572.6210198
3,336453.367133652,NaN,NaN
3.5,NaN,691809.110979644,NaN
4,NaN,NaN,53084157.9071381
6.5,336262.07827777,1016302.15285443,NaN
8,NaN,NaN,87016041.5661302
9.5,371183.081603413,NaN,NaN
10,NaN,948578.739850326,NaN
15,343339.945240271,973735.884881839,157858520.397352
20,338503.801328538,1141253.61847525,187207860.645148
25,358745.273142199,1270576.82994218,178697090.903863
30,325987.175046429,1354351.77551635,191328844.13233
35,NaN,1327143.30725654,NaN
40,312097.77296358,NaN,217469894.889012
45,347598.125050958,1378959.47968674,212934260.920084
55,342408.674414348,1397083.04983914,NaN
65,321119.399062095,1505837.99325079,NaN
