t,Ins_Obs,Compound_1_Obs,Compound_2_Obs
0,1278.62841209545,699.686485176834,1616.01051210485
8.5,372.959912602526,NaN,884.689624612341
9,NaN,291.468586941305,NaN
15,230.949683624758,NaN,1062.93604909104
20,NaN,310.409146512564,NaN
25,259.164425250907,NaN,1056.61401225381
30,NaN,242.225774878436,NaN
35,208.016323676106,NaN,643.383518919551
40,NaN,160.915615589591,NaN
45,93.8048060233047,NaN,1026.71933911482
50,NaN,224.096346613626,NaN
55,NaN,NaN,613.384799035061
60,202.078634410233,221.170294605203,NaN
65,NaN,NaN,788.807854933238
70,163.444740287314,NaN,NaN
75,NaN,255.562484253499,NaN
80,NaN,NaN,878.324744330814
90,143.734368645058,NaN,NaN
95,NaN,133.21235347343,1069.07933221115
100,153.822000098908,194.266857001595,651.651218286024
150,71.496916406061,161.749431179126,1068.34323873101
200,63.6191705501535,112.981657630801,1162.66045739371
