t,Ins_Obs,IR2_Obs,InsulinFragments_Obs,Compound_1_Obs,Compound_2_Obs
0,81.0613818687699,0.00576241994252428,0.0983689809230656,86.5440503502047,1951.17581423607
5.5,34.1219075839537,5.13218991760041,NaN,NaN,NaN
7.5,NaN,NaN,NaN,38.6346689251763,NaN
8.5,NaN,NaN,NaN,NaN,777.453416629277
9.5,NaN,NaN,2.25878939137684,NaN,NaN
10,21.5970195467871,6.10785494440447,NaN,NaN,NaN
15,20.447713392042,5.04807242372704,NaN,25.175242143816,1129.77407920114
20,18.9295477929922,NaN,5.61356029502364,NaN,NaN
25,NaN,4.23150565425759,NaN,15.3284549469132,1347.31732953606
30,20.7372877777877,4.09646970456541,9.77888483703937,30.3454542368148,NaN
35,15.80273756337,3.16209631566674,NaN,NaN,1485.15726641219
40,NaN,NaN,6.84580656453427,16.7956793669063,NaN
45,11.0621477748581,3.35990866904229,NaN,NaN,959.864028266773
50,NaN,NaN,13.9818281350965,12.2102310236722,NaN
55,10.4969521891435,3.41468095713049,NaN,NaN,1138.88386261555
60,NaN,NaN,NaN,18.3472773212464,NaN
65,NaN,NaN,16.1380331450048,NaN,NaN
70,20.2139232026633,3.68583277244593,NaN,NaN,1450.14898835074
75,NaN,NaN,NaN,18.0622350189725,NaN
80,NaN,NaN,23.6135395052869,NaN,962.125915820175
85,10.9028689273554,2.33375619653877,NaN,NaN,NaN
90,NaN,NaN,NaN,13.9052118517714,NaN
95,NaN,NaN,NaN,NaN,997.808904966694
100,11.4502277708766,2.78131479469348,23.8004133664569,7.15225502952651,1177.24432800934
150,NaN,NaN,28.4349142039763,8.77311161416923,2003.2034253994
200,NaN,NaN,63.2998356874675,7.79376100468852,1227.58490985987
