t,Ins_Obs,IR2_Obs,InsulinFragments_Obs,Compound_1_Obs,Compound_2_Obs
0,10255.7145276128,0.139983060591505,0.826888230862989,10114.3494155231,889.051948330185
3,NaN,257.52778641169,NaN,NaN,NaN
6.5,NaN,136.796935159365,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,259.362097152219
9,4738.77273448713,NaN,NaN,NaN,NaN
9.5,NaN,101.071675904607,74.6430014695646,NaN,NaN
10,NaN,NaN,NaN,5218.70582015623,NaN
15,NaN,108.67775106917,NaN,NaN,282.84141927947
20,5964.045329701,92.0555377854909,162.023960203545,2958.96224558399,175.953693054501
25,NaN,74.4223393433372,NaN,NaN,NaN
30,6317.46997957905,NaN,318.652025670918,4579.46108818075,242.994740029252
35,NaN,70.9225196264546,NaN,NaN,NaN
40,4941.94707921587,46.61500284659,440.095373211654,NaN,172.18511857125
45,NaN,NaN,NaN,3994.96099522648,128.291008429642
50,3580.57529223857,87.9867653540626,413.134417992937,NaN,NaN
55,NaN,NaN,NaN,5261.5255259241,193.077518647302
60,NaN,67.2991373620431,NaN,NaN,NaN
65,5016.0361488316,NaN,759.154629220913,NaN,NaN
70,NaN,NaN,NaN,7632.64610576651,256.351387786345
75,5845.18421358377,NaN,NaN,NaN,NaN
80,NaN,NaN,628.130838865147,NaN,222.017697096506
90,NaN,NaN,NaN,5552.33922879337,NaN
95,3561.36289334274,NaN,NaN,NaN,307.028262230619
100,3613.77489951607,NaN,1144.31245557447,4358.92378561658,190.862869502733
150,3524.03507809453,NaN,1605.88724193353,4978.92473697624,184.10351057905
200,5484.26552677971,NaN,780.319732176391,4860.53444841848,382.11049418044
